id	name	size	proof	abv	spirit_type	brand_id	popularity	image_url	avg_msrp	fair_price	shelf_price	total_score	wishlist_count
4709	Woodinville Straight Bourbon	750	90	45	Bourbon	556	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recBpJbfs0pMoPRme	39.17	58.44	57.15	1021	104
32083	Blood Oath Pact No. 10	750		49.3	Bourbon	849	100046	https://d1w35me0y6a2bb.cloudfront.net/newproducts/ee199b8d-8d98-480c-bbba-2c12a54b42ba.jpg	129.99	211.55	196.32	1018	114
18138	Booker's Bourbon 2022-01 Ronnie’s Batch	750	124	62	Bourbon	647	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/c92f9f66-3d32-457a-ba3b-81686d109699	89.99	116.24	194.99	1009	60
17611	Widow Jane The Vaults 15 Year	750	99	49.5	Bourbon	295	1800	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recaBZL4GbmqvN0WR	224.98	294.52	258.16	1000	379
27160	Larceny Barrel Proof A124	750	124.2	62.1	Bourbon	587	100028	https://d1w35me0y6a2bb.cloudfront.net/newproducts/1e665bfd-821f-4a8c-adec-45836b130f78.png	59.99	84.69	79.16	1000	41
53003	Stagg 24C	750	128.9	64.45				https://d1w35me0y6a2bb.cloudfront.net/newproducts/e42ec1ee-8237-467b-aa2f-1eb469250661	65	242.72	816.33	1026	128
19883	Evan Williams Bottled in Bond Green Label	750	100	50	Bourbon	167	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recvAht7TQ5uBWLfy	15	28.09	19.99	996	89
17905	Angel's Envy Rye Caribbean Rum Cask	750	100	50	Rye	96	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recdigHdwm2z7V9VU	74.99	101.29	95.99	995	109
18440	Heaven’s Door Decade Series 10 Year Release 1	750	100	50	Bourbon	299	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recYa5IgWxq0ITqnz	99	98.96	98.85	995	55
2192	Sazerac Rye 18 Year	750	90	45	Rye	705	100	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recWNiC46q2FcbhUP	104.13	532.86	1907.83	994	556
726	Macallan 12 Year Double Cask	750	86	43	Scotch	275	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/receG6KjSVyIbaKDW	64.77	92.88	78.49	993	86
4789	Rabbit Hole Heigold	750	95	47.5	Bourbon	573	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recCoQftqmg6fcbAn	62.47	68.6	66.99	988	97
18521	Frank August Small Batch Bourbon	750	100	50	Bourbon	3794	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reczkcV4Ne1e5FxB3	68.99	95.06	77.16	986	113
16248	Kirkland Signature Small Batch	1000	92	46	Bourbon	1118			27.99	29.38	33.55	985	30
27294	Booker’s  Springfield Batch 2024-01	750	124.5	62.25	Bourbon	647	100028	https://d1w35me0y6a2bb.cloudfront.net/newproducts/afaabdc1-0e9d-46eb-a270-f6910ef2aac5	90	121.89	116.19	984	49
20206	Larceny Small Batch	750		46	Bourbon	587		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recwu4nkbnaXXJm3Q	27.49	38.99	31.99	984	33
3616	Skrewball Peanut Butter Whiskey	750	70	35	Whiskey	719	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recn6lpQastGrqR07	29.77	38.96	34.11	984	45
39325	Booker's 7 Year "The Beam House Batch" - 2024	750		62.3	Bourbon	647	100033	https://d1w35me0y6a2bb.cloudfront.net/newproducts/a73d46be-ab87-494e-be58-2fc937b1b335	95.99	131.16	189.99	980	92
17378	Elijah Craig Barrel Proof Batch B521	750	118	59	Bourbon	2	1200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/a75fcf19-5e0d-4e7e-a6cd-deb55e7cc232	69.97	83.14	122.66	980	82
4496	Jefferson's Reserve Twin Oak Barrel	750	90.2	45.1	Bourbon	9035	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recy3w2VgaExDFGUG	78.83	97.71	91.66	974	96
19147	Jack Daniel’s Twice Barreled Special Release 2022 American Single Malt Finished in Oloroso Sherry Casks	750	107.3	53.65	Whiskey	231	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/b248dda1-1445-4074-b44e-ef91aea5359b	70	113.08	242.32	973	165
48295	Booker’s Bourbon 2024-03	750	130.3	65.15	Bourbon	647	100038	https://d1w35me0y6a2bb.cloudfront.net/newproducts/2a9c1062-7248-4b93-9f90-996d16ffd71e	99.99	135.62	114.99	973	86
39943	Heaven Hill Grain to Glass-Rye	750	123.2	61.6	Whiskey	430	100051	https://d1w35me0y6a2bb.cloudfront.net/newproducts/00683fe4-1f08-4c89-a107-cb43b6975f57	99	106.43	128.73	969	102
16050	Garrison Brothers Balmorhea Bourbon	750	115	57.5	Bourbon	3880	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recax91EynIawShyE	168.16	186.15	185.83	969	125
567	Woodford Reserve Rye	750	90.4	45.2	Rye	2004	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recc2r2Dqurh0iYRC	36.34	51.17	43.92	967	59
49176	Penelope Estate Collection Private Select 9 Year	750	101.2	50.6	Bourbon	2817	100069	https://d1w35me0y6a2bb.cloudfront.net/newproducts/c2812378-52a4-44cd-9fdd-070945dc6e78	79.99	122.17	179.99	967	173
14303	Elijah Craig Barrel Proof Batch C917	750	131	65.5	Bourbon	2	1200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/69b776f1-bd0e-4d15-876d-adaaa2690bfe	62.48	98.07	89.99	964	281
13891	Blue Spot 7 Year Batch 3	700		58.9	Whisky	8935	1800	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recWV9aG5DJ7VtvSz	109.99	152.28	304.49	962	178
17399	Elijah Craig Barrel Proof Batch A121	750	124	62	Bourbon	2	1200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/e7ee50a6-38d2-42cd-b591-d0e8964db281	69.97	86.86	117.86	958	110
1286	Shenk's Homestead Sour Mash Whiskey 2022 Release	750	91	45.5	Whiskey	3854	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recLS57MgGf0eWSY8	99.97	121.62	186.56	957	123
3208	The Balvenie Double Wood 12 year	750		43	Single Malt Scotch Whisky	337	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/reci6cgpNXbTcLBJo	65.96	85.27	72.28	957	119
17862	Evan Williams Single Barrel Vintage 2013	750	86.6	43.3	Bourbon	167	600	https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec3eEtjdFwBq3guR	28.75	33.13	46.25	956	95
17064	Jack Daniel's Bottled in Bond	1000	100	50	Whiskey	231	600	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recoOpUxKNxFEe7ZK	37.99	56.2	98.11	954	107
1786	Knob Creek Single Barrel Rye	750	115	57.5	Rye	189	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recRTWmKzFluCxDNv	54.77	79.14	58.82	954	39
11663	Clase Azul Reposado	750	80	40	Tequila	1344	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recgZpj1TALSI4vgB	122.7	194.98	181.7	952	110
20692	Maker's Mark Cellar Aged 2023 Release	750	115	57.5	Bourbon	333		https://d1w35me0y6a2bb.cloudfront.net/newproducts/recrLzDcYaP3HBfk5	159.98	225.15	458.16	952	263
17101	Booker's 6 Year "Tagalong Batch" - 2021	750		63.95	Bourbon	647	200	https://d1w35me0y6a2bb.cloudfront.net/newproducts/recgxNrE9aHRRi0VX	90	126.1	205.83	950	93
